鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),現況格局-房,現況格局-廳,現況格局-衛,現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
北區,地+建+車,北門里北門街181～210號,16.019,商16.019,,,10412,土地1建物1車位1,A四層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,152.97,3房,2廳,2衛,有隔間,有管理組織,12150000,274997,坡道機械,16.53,0,無
北區,地+建+車,北門里北門街181～210號,17.098,商17.098,,,10412,土地1建物1車位1,A五層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,172.814,3房,2廳,2衛,有隔間,有管理組織,13000000,287104,坡道平面,36.37,0,無
北區,地+建+車,北門里北門街181～210號,17.098,商17.098,,,10412,土地1建物1車位1,A六層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,172.814,3房,2廳,2衛,有隔間,有管理組織,13060000,289769,坡道平面,36.37,0,無
北區,地+建+車,北門里北門街181～210號,17.43,商17.43,,,10412,土地1建物1車位1,A七層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,179.405,3房,2廳,2衛,有隔間,有管理組織,13150000,287102,坡道平面,42.96,0,無
東區,車位,八德路211～240號,2.353,它2.353,,,10412,車位3,,14層,車位,見其他登記事項,鋼筋混凝土造,9711,59.27,,,,有隔間,有管理組織,1050000,58564,坡道平面,0,0,車位總價中無法拆分個別車位價
東區,車位,八德路211～240號,1.176,它1.176,,,10412,車位1,,14層,車位,見其他登記事項,鋼筋混凝土造,9711,29.855,,,,有隔間,有管理組織,1200000,132875,坡道平面,0,1200000,無
東區,車位,八德路211～240號,0.784,它0.784,,,10412,車位1,,14層,車位,見其他登記事項,鋼筋混凝土造,9711,19.757,,,,有隔間,有管理組織,350000,58564,坡道平面,0,350000,無
北區,地+建+車,凌雲街61～90號,46.203,住46.203,,,10412,土地1建物1車位1,A一層=98.30,11層,住宅大樓,見其他登記事項,鋼筋混凝土造,9803,178.549,3房,2廳,2衛,有隔間,有管理組織,4839406,89600,坡道平面,0,0,因特殊關係向政府機關承購
北區,地+建+車,凌雲街31～60號,53.498,住53.498,,,10412,土地1建物1車位1,A十層=116.63,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9803,207.029,3房,2廳,2衛,有隔間,有管理組織,5609520,89571,坡道平面,0,0,因特殊關係向政府機關承購
東區,地+建,光復路二段721～750號,7.798,商7.798,,,10411,土地1建物1,A五層=31.31,7層,套房,住家用，共同使用部份,鋼筋混凝土造,8111,45.505,1房,1廳,1衛,有隔間,有管理組織,2530000,183794,,0,0,無
北區,地+建+車,凌雲街61～90號,47.592,住47.592,,,10412,土地1建物1車位1,A一層=101.46,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9803,183.488,3房,2廳,2衛,有隔間,有管理組織,4975952,89648,坡道平面,0,0,因特殊關係向政府機關承購
北區,地+建+車,凌雲街31～60號,47.592,住47.592,,,10412,土地1建物1車位1,A一層=101.46,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9803,183.488,3房,2廳,2衛,有隔間,有管理組織,4975952,89648,坡道平面,0,0,因特殊關係向政府機關承購
北區,地+建+車,凌雲街31～60號,47.592,住47.592,,,10412,土地1建物1車位1,A一層=101.46,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9803,183.488,3房,2廳,20衛,有隔間,有管理組織,4975952,89648,坡道平面,0,0,因特殊關係向政府機關承購
北區,地+建+車,凌雲街91～120號,47.245,住47.245,,,10412,土地1建物1車位1,A一層=101.34,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9803,182.773,3房,2廳,2衛,有隔間,有管理組織,4952681,89578,坡道平面,0,0,因特殊關係向政府機關承購
北區,地+建+車,北門里北門街181～210號,16.019,商16.019,,,10412,土地1建物1車位1,A四層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,153.046,3房,2廳,2衛,有隔間,有管理組織,12000000,273633,坡道機械,16.53,0,無
北區,地+建+車,凌雲街61～90號,47.592,住47.592,,,10412,土地1建物1車位1,A一層=101.46,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9803,183.488,3房,2廳,2衛,有隔間,有管理組織,4975952,89648,坡道平面,0,0,因特殊關係向政府機關承購
北區,地+建+車,凌雲街91～120號,45.508,住45.508,,,10412,土地1建物1車位1,A一層=95.94,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9803,175.67,3房,2廳,2衛,有隔間,有管理組織,4762569,89623,坡道平面,0,0,因特殊關係向政府機關承購
北區,地+建+車,凌雲街91～120號,45.508,住45.508,,,10412,土地1建物1車位1,A二層=95.94,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9803,175.67,3房,2廳,2衛,有隔間,有管理組織,4762563,89623,坡道平面,0,0,因特殊關係向政府機關承購
北區,地+建+車,凌雲街31～60號,53.498,住53.498,,,10412,土地1建物1車位1,A十層=116.63,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9803,207.029,3房,2廳,2衛,有隔間,有管理組織,5609520,89571,坡道平面,0,0,因特殊關係向政府機關承購
北區,地+建+車,凌雲街61～90號,46.203,住46.203,,,10412,土地1建物1車位1,A一層=98.30,14層,華廈,見其他登記事項,鋼筋混凝土造,9803,178.549,3房,2廳,2衛,有隔間,有管理組織,4839406,89600,坡道平面,0,0,因特殊關係向政府機關承購
